"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Karwasra K.; Kumar D.; Soni G.; Prakash S.","Karwasra, Kritika (57218708385); Kumar, Devesh (57212687742); Soni, Gunjan (26423256300); Prakash, Surya (57212000728)","57218708385; 57212687742; 26423256300; 57212000728","Webometric study of lean manufacturing","2021","Lecture Notes in Mechanical Engineering","","","","309","322","13","2","10.1007/978-981-15-5519-0_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092132959&doi=10.1007%2f978-981-15-5519-0_23&partnerID=40&md5=fc2bb95ffdca881a695734c7ee43ff81","Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, Rajasthan, India; BML Munjal University, Haryana, India","Karwasra K., Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, Rajasthan, India; Kumar D., Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, Rajasthan, India; Soni G., Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, Rajasthan, India; Prakash S., BML Munjal University, Haryana, India","Conference paper","Final","","Scopus","2-s2.0-85092132959"
"Yousuf B.; Shukla A.; Arora M.K.; Bindal A.; Jasrotia A.S.","Yousuf, Bisma (57113508600); Shukla, Aparna (56844514100); Arora, Manoj K. (7103319791); Bindal, Ankit (57200288877); Jasrotia, Avtar S. (57190788833)","57113508600; 56844514100; 7103319791; 57200288877; 57190788833","On Drivers of Subpixel Classification Accuracy-An Example from Glacier Facies","2020","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","13","","8968758","601","608","7","8","10.1109/JSTARS.2019.2955955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081074259&doi=10.1109%2fJSTARS.2019.2955955&partnerID=40&md5=0f22e122c496e9b419db41c31bf46f59","University of Jammu, Jammu, 180006, India; Ministry of Earth Sciences, New Delhi, 110003, India; BML Munjal University, Gurgaon, 122413, India; Deutsche Bank, Pune, 411006, India","Yousuf B., University of Jammu, Jammu, 180006, India; Shukla A., Ministry of Earth Sciences, New Delhi, 110003, India; Arora M.K., BML Munjal University, Gurgaon, 122413, India; Bindal A., Deutsche Bank, Pune, 411006, India; Jasrotia A.S., University of Jammu, Jammu, 180006, India","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081074259"
"Chini M.K.; Purohit S.; Bheemaraju A.; Chakraborty T.; Singh K.P.; Ivaturi A.; Satapathi S.","Chini, Mrinmoy Kumar (57190120798); Purohit, Smruti (57217678071); Bheemaraju, Amarnath (54392380300); Chakraborty, Tanmoyendu (57217678380); Singh, Kishan Pal (57217683809); Ivaturi, Aruna (36131546300); Satapathi, Soumitra (36610769900)","57190120798; 57217678071; 54392380300; 57217678380; 57217683809; 36131546300; 36610769900","Carbon-Based Adsorbents from Naturally Available Bermuda Grasses: Removal of TDS and Arsenic Ions","2020","ChemistrySelect","5","25","","7571","7580","9","1","10.1002/slct.201902892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087525038&doi=10.1002%2fslct.201902892&partnerID=40&md5=418e5b10bae8524f3cb8839569a0cadf","Department of Physics, Indian Institute of Technology Roorkee, Roorkee, 247667, Uttarakhand, India; BML Munjal University, Gurgaon, 122413, Haryana, India; Smart Materials Research and Device Technology (SMaRDT) Group, Department of Pure and Applied Chemistry, University of Strathclyde, Thomas Graham building, Glasgow, G1 1XL, United Kingdom","Chini M.K., Department of Physics, Indian Institute of Technology Roorkee, Roorkee, 247667, Uttarakhand, India; Purohit S., Department of Physics, Indian Institute of Technology Roorkee, Roorkee, 247667, Uttarakhand, India; Bheemaraju A., BML Munjal University, Gurgaon, 122413, Haryana, India; Chakraborty T., Department of Physics, Indian Institute of Technology Roorkee, Roorkee, 247667, Uttarakhand, India; Singh K.P., BML Munjal University, Gurgaon, 122413, Haryana, India; Ivaturi A., Smart Materials Research and Device Technology (SMaRDT) Group, Department of Pure and Applied Chemistry, University of Strathclyde, Thomas Graham building, Glasgow, G1 1XL, United Kingdom; Satapathi S., Department of Physics, Indian Institute of Technology Roorkee, Roorkee, 247667, Uttarakhand, India","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85087525038"
"Khatter K.","Khatter, Kiran (54787827500)","54787827500","Neutrosophic linear programming using possibilistic mean","2020","Soft Computing","24","22","","16847","16867","20","16","10.1007/s00500-020-04980-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087674687&doi=10.1007%2fs00500-020-04980-y&partnerID=40&md5=18219ecfcca32a8df58f078c15d8240b","Department of Computer Science, BML Munjal University, Sidhrawali, India","Khatter K., Department of Computer Science, BML Munjal University, Sidhrawali, India","Article","Final","","Scopus","2-s2.0-85087674687"
"Sharma S.; Singh K.; Kumar S.; Rana A.; Bhatt K.; Dwivedi Y.; Gupta M.; Tripathi C.C.","Sharma, Sandeep (57213924174); Singh, Karamvir (57212380583); Kumar, Sandeep (57218172626); Rana, Abhimanyu (36182549900); Bhatt, Kapil (56957888700); Dwivedi, Y. (7004249315); Gupta, Monish (57214001289); Tripathi, C.C. (36640260700)","57213924174; 57212380583; 57218172626; 36182549900; 56957888700; 7004249315; 57214001289; 36640260700","Optical and electrical investigations of rubbing assisted few-layer graphene thin film for feasibility of flexible electrode","2020","Optik","203","","163989","","","","3","10.1016/j.ijleo.2019.163989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076553370&doi=10.1016%2fj.ijleo.2019.163989&partnerID=40&md5=7469ea5ca83323946c463abfe07d0649","University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; BML Munjal University, Gurugram, India; Physics Department, National Institute of Technology Kurukshetra, India","Sharma S., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; Singh K., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; Kumar S., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; Rana A., BML Munjal University, Gurugram, India; Bhatt K., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; Dwivedi Y., Physics Department, National Institute of Technology Kurukshetra, India; Gupta M., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India; Tripathi C.C., University Institute of Engineering and Technology, Kurukshetra University, Kurukshetra, 136119, India","Article","Final","","Scopus","2-s2.0-85076553370"
"Yadav M.; Choudhary S.","Yadav, Mohit (56857207800); Choudhary, Sangita (57205549996)","56857207800; 57205549996","Satisfaction from romantic relationship and social media usage: Mediating role of self-disclosure and CMC motives","2019","VINE Journal of Information and Knowledge Management Systems","49","4","","609","628","19","2","10.1108/VJIKMS-09-2018-0078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073674483&doi=10.1108%2fVJIKMS-09-2018-0078&partnerID=40&md5=bb7488c3d2174cb329d064a9370037fb","Jindal Global Business School, O.P. Jindal Global University, Sonipat, India; School of Management, BML Munjal University, Gurgaon, India","Yadav M., Jindal Global Business School, O.P. Jindal Global University, Sonipat, India; Choudhary S., School of Management, BML Munjal University, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85073674483"
"Vats P.; Soni G.; Rathore A.P.S.; Yadav S.P.","Vats, Peeyush (57203138839); Soni, Gunjan (26423256300); Rathore, Ajay Pal Singh (15763606900); Yadav, Surya Prakash (57209641312)","57203138839; 26423256300; 15763606900; 57209641312","A demand aggregation approach for inventory control in two echelon supply chain under uncertainty","2019","OPSEARCH","56","3","","840","868","28","3","10.1007/s12597-019-00389-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068329942&doi=10.1007%2fs12597-019-00389-w&partnerID=40&md5=3c3d18f6935ae8b44c39638ab26e8ed0","Malaviya National Institute of Technology, Jaipur, India; School of Engineering and Technology, BML Munjal University, Gurgaon, Haryana, India","Vats P., Malaviya National Institute of Technology, Jaipur, India; Soni G., Malaviya National Institute of Technology, Jaipur, India; Rathore A.P.S., Malaviya National Institute of Technology, Jaipur, India; Yadav S.P., School of Engineering and Technology, BML Munjal University, Gurgaon, Haryana, India","Article","Final","","Scopus","2-s2.0-85068329942"
"Chopra K.; Prasada Rao A.K.","Chopra, Kunal (57205465598); Prasada Rao, A.K. (56962715100)","57205465598; 56962715100","Ultrasonicated Direct Chill Clad Casting of Magnesium Alloy: A Computational Approach","2019","Transactions of the Indian Institute of Metals","72","12","","3027","3033","6","1","10.1007/s12666-019-01768-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068955914&doi=10.1007%2fs12666-019-01768-z&partnerID=40&md5=5563bf03c773e332fc3486d1258b8ffb","Department of Mechanical Engineering, SoET, BML Munjal University, Gurgaon, 122 413, India","Chopra K., Department of Mechanical Engineering, SoET, BML Munjal University, Gurgaon, 122 413, India; Prasada Rao A.K., Department of Mechanical Engineering, SoET, BML Munjal University, Gurgaon, 122 413, India","Article","Final","","Scopus","2-s2.0-85068955914"
"Kumar S.; Jain A.; Shukla A.P.; Singh S.; Raja R.; Rani S.; Harshitha G.; Alzain M.A.; Masud M.","Kumar, Sandeep (57234304400); Jain, Arpit (57214235873); Shukla, Anand Prakash (56669243300); Singh, Satyendr (55270664200); Raja, Rohit (36952256400); Rani, Shilpa (57209414479); Harshitha, G. (57225022726); Alzain, Mohammed A. (37048572200); Masud, Mehedi (17338820600)","57234304400; 57214235873; 56669243300; 55270664200; 36952256400; 57209414479; 57225022726; 37048572200; 17338820600","A Comparative Analysis of Machine Learning Algorithms for Detection of Organic and Nonorganic Cotton Diseases","2021","Mathematical Problems in Engineering","2021","","1790171","","","","50","10.1155/2021/1790171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108979343&doi=10.1155%2f2021%2f1790171&partnerID=40&md5=92cb0ae0cb1f38cb5cacef9017bcce5a","Sreyas Institute of Engineering and Technology, Hyderabad, India; Teerthanker Mahaveer University, Moradabad UP, India; KIET Group of Institutions, Gaziabad, India; BML Munjal University, Gurugram, India; Central University, Bilaspur Chhattisgarh, India; Neil Gogte Institute of Technology, Hyderabad, India; Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Department of Computer Science, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia","Kumar S., Sreyas Institute of Engineering and Technology, Hyderabad, India; Jain A., Teerthanker Mahaveer University, Moradabad UP, India; Shukla A.P., KIET Group of Institutions, Gaziabad, India; Singh S., BML Munjal University, Gurugram, India; Raja R., Central University, Bilaspur Chhattisgarh, India; Rani S., Neil Gogte Institute of Technology, Hyderabad, India; Harshitha G., Sreyas Institute of Engineering and Technology, Hyderabad, India; Alzain M.A., Department of Information Technology, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia; Masud M., Department of Computer Science, College of Computers and Information Technology, Taif University, P.O. Box 11099, Taif, 21944, Saudi Arabia","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85108979343"
"Kargeti A.; Shrivastav R.; Rasheed T.","Kargeti, Ankit (57212392406); Shrivastav, Ravikant (57219622248); Rasheed, Tabish (57207562016)","57212392406; 57219622248; 57207562016","Electronic structure calculations on GaInNAS/GaNiNAs nanostructures using density functional theory","2020","AIP Conference Proceedings","2265","","030396","","","","0","10.1063/5.0016651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096608619&doi=10.1063%2f5.0016651&partnerID=40&md5=9c92f40e56368881fb12306b4915a296","Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Gurugram, Haryana, 122413, India","Kargeti A., Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Gurugram, Haryana, 122413, India; Shrivastav R., Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Gurugram, Haryana, 122413, India; Rasheed T., Department of Applied Sciences, School of Engineering and Technology, BML Munjal University, Gurugram, Haryana, 122413, India","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85096608619"
"Khatter K.","Khatter, Kiran (54787827500)","54787827500","Interval valued trapezoidal neutrosophic set: multi-attribute decision making for prioritization of non-functional requirements","2021","Journal of Ambient Intelligence and Humanized Computing","12","1","","1039","1055","16","9","10.1007/s12652-020-02130-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086732695&doi=10.1007%2fs12652-020-02130-8&partnerID=40&md5=07cd7bb7f6dd8e159fd91e9f6993854e","Department of Computer Science, BML Munjal University, Gurgaon, India","Khatter K., Department of Computer Science, BML Munjal University, Gurgaon, India","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086732695"
"Bhatia S.; Choudhary S.; Dugar A.; Mazumdar S.","Bhatia, Sandhya (57201654390); Choudhary, Sangita (57205549996); Dugar, Amish (57211523741); Mazumdar, Smita (56797638500)","57201654390; 57205549996; 57211523741; 56797638500","Stock pledging and earnings management: an empirical analysis","2019","Asian Review of Accounting","27","3","","350","372","22","7","10.1108/ARA-03-2018-0074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074283897&doi=10.1108%2fARA-03-2018-0074&partnerID=40&md5=f42f038ff7791d709522e2bd8232dfa0","Department of Accounting and Finance, Indian Institute of Management Udaipur, Udaipur, India; School of Management, BML Munjal University, Gurgaon, India; The School of Business Management, Narsee Monjee Institute of Management Studies University, Mumbai, India","Bhatia S., Department of Accounting and Finance, Indian Institute of Management Udaipur, Udaipur, India; Choudhary S., School of Management, BML Munjal University, Gurgaon, India; Dugar A., Department of Accounting and Finance, Indian Institute of Management Udaipur, Udaipur, India; Mazumdar S., The School of Business Management, Narsee Monjee Institute of Management Studies University, Mumbai, India","Article","Final","","Scopus","2-s2.0-85074283897"
"Choudhary S.; Kumar A.; Luthra S.; Garza-Reyes J.A.; Nadeem S.P.","Choudhary, Sangita (57205549996); Kumar, Anil (57001679600); Luthra, Sunil (43361407000); Garza-Reyes, Jose Arturo (35310169200); Nadeem, Simon Peter (57195637973)","57205549996; 57001679600; 43361407000; 35310169200; 57195637973","The adoption of environmentally sustainable supply chain management: Measuring the relative effectiveness of hard dimensions","2020","Business Strategy and the Environment","29","8","","3104","3122","18","18","10.1002/bse.2560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088575057&doi=10.1002%2fbse.2560&partnerID=40&md5=1176c8e0a01405263c9130c833969878","School of Management, BML Munjal University, Gurgaon, India; Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom; Department of Mechanical Engineering, Government Polytechnic Jhajjar, Jhajjar, India","Choudhary S., School of Management, BML Munjal University, Gurgaon, India; Kumar A., Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom; Luthra S., Department of Mechanical Engineering, Government Polytechnic Jhajjar, Jhajjar, India; Garza-Reyes J.A., Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom; Nadeem S.P., Centre for Supply Chain Improvement, University of Derby, Derby, United Kingdom","Article","Final","","Scopus","2-s2.0-85088575057"
"Prakash G.; Choudhary S.; Kumar A.; Garza-Reyes J.A.; Khan S.A.R.; Panda T.K.","Prakash, Gyan (57698843400); Choudhary, Sangita (57205549996); Kumar, Anil (57001679600); Garza-Reyes, Jose Arturo (35310169200); Khan, Syed Abdul Rehman (57188874922); Panda, Tapan Kumar (57203894124)","57698843400; 57205549996; 57001679600; 35310169200; 57188874922; 57203894124","Do altruistic and egoistic values influence consumers’ attitudes and purchase intentions towards eco-friendly packaged products? An empirical investigation","2019","Journal of Retailing and Consumer Services","50","","","163","169","6","132","10.1016/j.jretconser.2019.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065708113&doi=10.1016%2fj.jretconser.2019.05.011&partnerID=40&md5=e39fb38f4ef722a1e109b5e9a8825599","Department of Humanities and Management, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, India; School of Management, BML Munjal University, Gurgaon, India; Centre for Supply Chain Improvement, The University of Derby, Kedleston Road Campus, Derby, DE22 1GB, United Kingdom; Head of Centre for Supply Chain Improvement, The University of Derby, Kedleston Road Campus, Derby, DE22 1GB, United Kingdom; School of Economics and Management, Tsinghua University, Beijing, China; Dean, Jindal Global Business School, OP Jindal Global University, India","Prakash G., Department of Humanities and Management, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, India; Choudhary S., School of Management, BML Munjal University, Gurgaon, India; Kumar A., Centre for Supply Chain Improvement, The University of Derby, Kedleston Road Campus, Derby, DE22 1GB, United Kingdom; Garza-Reyes J.A., Head of Centre for Supply Chain Improvement, The University of Derby, Kedleston Road Campus, Derby, DE22 1GB, United Kingdom; Khan S.A.R., School of Economics and Management, Tsinghua University, Beijing, China; Panda T.K., Dean, Jindal Global Business School, OP Jindal Global University, India","Article","Final","","Scopus","2-s2.0-85065708113"
"Phutela N.; Gupta S.; Gabrani G.","Phutela, Nishtha (57193687658); Gupta, Sunil (57756959300); Gabrani, Goldie (6602608380)","57193687658; 57756959300; 6602608380","Real-time modelling and forecasting of confirmed and death cases for immediate action and their prevention against COVID-19 in India","2021","International Journal of System of Systems Engineering","11","2","","159","169","10","0","10.1504/IJSSE.2021.116046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109480528&doi=10.1504%2fIJSSE.2021.116046&partnerID=40&md5=46a277a79dff21c73c002b387830e1b0","Department of Computer Science and Engineering, Bml Munjal University, Gurgaon, 122413, India; Department of Cybernetics, School of Computer Science and Engineering, University of Petroleum and Energy Studies, Dehradun, 248007, India","Phutela N., Department of Computer Science and Engineering, Bml Munjal University, Gurgaon, 122413, India; Gupta S., Department of Cybernetics, School of Computer Science and Engineering, University of Petroleum and Energy Studies, Dehradun, 248007, India; Gabrani G., Department of Computer Science and Engineering, Bml Munjal University, Gurgaon, 122413, India","Article","Final","","Scopus","2-s2.0-85109480528"
"More K.D.; Halge D.I.; Khanzode P.M.; Narwade V.N.; Begum S.; Munde S.G.; Dadge J.W.; Rana A.S.; Bogle K.A.","More, Kiran D. (57201084654); Halge, Devidas I. (57210324057); Khanzode, Pooja M. (57202906338); Narwade, Vijaykiran N. (57194185797); Begum, Sumayya (57204431863); Munde, Shivaji G. (54791264300); Dadge, Jagdish W. (12140908100); Rana, Abhimanyu S. (36182549900); Bogle, Kashinath A. (9639632700)","57201084654; 57210324057; 57202906338; 57194185797; 57204431863; 54791264300; 12140908100; 36182549900; 9639632700","Resistive switching characteristics of Pt/TiO2/Al structure under optical illumination","2020","AIP Conference Proceedings","2269","","030066","","","","1","10.1063/5.0019620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094563283&doi=10.1063%2f5.0019620&partnerID=40&md5=e4f527a2702acb3b96204b033d239522","Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Yeshwant Junior College, Umri, Dist. Nanded, 431807, India; Department of Physics, College of Engineering, Pune, 411005, India; Center for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Gurgaon, 122413, India","More K.D., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India, Yeshwant Junior College, Umri, Dist. Nanded, 431807, India; Halge D.I., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Khanzode P.M., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Narwade V.N., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Begum S., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Munde S.G., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India; Dadge J.W., Department of Physics, College of Engineering, Pune, 411005, India; Rana A.S., Center for Advanced Materials and Devices, School of Engineering and Technology, BML Munjal University, Gurgaon, 122413, India; Bogle K.A., Thin Films and Devices Laboratory, School of Physical Sciences, Swami Ramanand Teerth Marathwada University, Nanded, 431606, India","Conference paper","Final","","Scopus","2-s2.0-85094563283"
"Soni G.; Prakash S.; Kumar H.; Singh S.P.; Jain V.; Dhami S.S.","Soni, Gunjan (26423256300); Prakash, Surya (57226556562); Kumar, Himanshu (57215201636); Singh, Surya Prakash (57199578228); Jain, Vipul (35749011500); Dhami, Sukhdeep Singh (34871857000)","26423256300; 57226556562; 57215201636; 57199578228; 35749011500; 34871857000","An interpretive structural modeling of drivers and barriers of sustainable supply chain management: A case of stone industry","2020","Management of Environmental Quality: An International Journal","31","5","","1071","1090","19","17","10.1108/MEQ-09-2019-0202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080075129&doi=10.1108%2fMEQ-09-2019-0202&partnerID=40&md5=29729efa9e99a7fe7449f4299f79fa8c","Department of Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, India; Department of Mechanical Engineering, BML Munjal University, Gurgaon, India; Department of Mechanical engineering, National Institute of Technical Teachers' Training and Research Chandigarh, Chandigarh, India; Indian Institute of Technology Delhi, New Delhi, India; Victoria University of Wellington Victoria Business School, Wellington, New Zealand","Soni G., Department of Mechanical Engineering, Malaviya National Institute of Technology, Jaipur, India; Prakash S., Department of Mechanical Engineering, BML Munjal University, Gurgaon, India; Kumar H., Department of Mechanical engineering, National Institute of Technical Teachers' Training and Research Chandigarh, Chandigarh, India; Singh S.P., Indian Institute of Technology Delhi, New Delhi, India; Jain V., Victoria University of Wellington Victoria Business School, Wellington, New Zealand; Dhami S.S., Department of Mechanical engineering, National Institute of Technical Teachers' Training and Research Chandigarh, Chandigarh, India","Article","Final","","Scopus","2-s2.0-85080075129"
"Shrivastava V.; Suhag A.K.","Shrivastava, Vivek (10739021800); Suhag, Ashok Kumar (54916937000)","10739021800; 54916937000","Leveraging controllability measures for high transition delay test coverage in DTESFF based partial enhanced scan design","2020","International Journal of System Assurance Engineering and Management","11","3","","655","661","6","0","10.1007/s13198-020-00975-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085131613&doi=10.1007%2fs13198-020-00975-y&partnerID=40&md5=24cbdf1c5588ecfbc9fbac65bb5b4045","Departtment of Electrical and Electronics Engineering, National Institute of Technology, Delhi, India; School of Engineering and Technology, BML Munjal University, Gurgaon, India","Shrivastava V., Departtment of Electrical and Electronics Engineering, National Institute of Technology, Delhi, India; Suhag A.K., School of Engineering and Technology, BML Munjal University, Gurgaon, India","Article","Final","","Scopus","2-s2.0-85085131613"
